ID,"Label","FS name",FS macro region,"Description"
761,"Decrease in average precipitation","Highland Mixed",MENA,"The rainfall is lower than in the other highland subsystems and expected to reduce with climate change, perhaps by 5 per cent by 2050 with diminished spring rainfall and increased frequency of droughts"
762,"Increase in extreme rainfall events","Highland Mixed",MENA,"It is predicted that extreme rainfall events due to climate change will cause sudden floods and storms that could destroy infrastructure downstream and wash away fertile soils, maturing crops, houses, farm investments and community assets. The impacts may be aggravated by low risk-coping strategies of communities and weak institutional capacities."
763,"Increase in average temperatures","Highland Mixed",MENA,"Most of the agricultural land is projected to witness a temperature increase of between 2.6–3 ºC by this time, with a particularly high increase of 3.6–4 ºC projected for the central Alborz Mountains. While the worst-case scenario is dramatic, the moderate scenario shows that the greatest increase in temperature for the region also lies in the central Alborz Mountains and northern Zagros Mountains"
764,"Increase in average precipitation","Highland Mixed",MENA,"The north and west of Iran observe a general increase in precipitation by the mid-century under both moderate and worst-case scenarios. This increase is most notable in the northern Zagros Mountains and central Alborz Mountains where precipitation changes are expected to exceed 5 mm/month"
765,"Increase in drought events","Highland Mixed",MENA,"Drought is the most prevalent climate hazard. Its impacts on livelihoods are severe and cause the highest human losses"
766,"Increase in strong winds","Highland Mixed",MENA,"High winds associated with extreme heat in the agrisytem cause sand- and duststorms. Strong winds when associated with unstable conditions, such as the development of informal, unsafe settlements become disasters rather than just hazards, given the extensive devastation they can inflict, and require risk reduction on a large-scale."
767,"Rising sea levels","Highland Mixed",MENA,"Climate change is expected to result in sea level rise and an increase in heat extremes, which will put intense pressure on already scarce water resources. These in turn will have severe implications for regional food security and livelihoods"
768,"Increasingly erratic rainfall","Highland Mixed",MENA,
769,"Soil erosion","Highland Mixed",MENA,"There has been a decline in soil fertility in the region, resulting from continuous cropping and low nutrient return, is also an issue in some plateau areas"
770,"Reduced water quality","Highland Mixed",MENA,"There have been impacts of declining quality of natural resource base and water erosion as a result of inadequate maintanance of terraces in the region."
771,"Water scarcity","Highland Mixed",MENA,"Scarcity of drinking water, for both humans and animals, in the mountain areas is one of the most serious problems and large number of new water points are needed."
772,"Land degradation","Highland Mixed",MENA,"Land degradation is extensive and the steep slopes cause intense runoff and local floods from storms."
773,"Reduced crop productivity/failure","Highland Mixed",MENA,"Wheat production areas on the western side of the Zagros Mountains are likely to undergo yield losses as this area will observe some of the most extreme changes in temperature (2.6- 3ºC in RCP 8.5) and certainly precipitation (up to -7.9 mm/month in RCP 8.5). Water deficits for wheat are projected to be around 23 percent during the growing season by 2050 which may result in farmers altering their planting dates or indeed switching to other crops, such as barley"
774,"Reduced water quality","Highland Mixed",MENA,"There is a reduced water quality impact due to unsustainable use of natural resources  coupled with climate change hazards."
775,"Reduced groundwater tables","Highland Mixed",MENA,"The agrisystem is prone to frequent droughts and face future water shortages due to unsustainable withdrawal of groundwater. In addition, mean temperatures over the past century have risen by 0.5°C, and precipitation over the past several decades has decreased by up to 10% in some parts of North Africa and Sudan"
776,"Unpredictable planting period","Highland Mixed",MENA,"Erratic rainfall in the agrisystem has impacted on the predictability of the planting seasons in the region. Farmers are finding it more and more difficult to rely on the onset for planting."
777,"Desertification","Highland Mixed",MENA,"Desertification is an increasing impact of climate hazards in the agrisystem with the region having some of the highest numbers of people vulnerable to increased desertification."
778,"Increased flooding","Highland Mixed",MENA,
779,"Change in production zone suitability","Highland Mixed",MENA,
780,"Damage to infrastructure","Highland Mixed",MENA,
781,"Livestock mortalities","Highland Mixed",MENA,
782,"Soil salinisation","Highland Mixed",MENA,
783,"Coastal inundation","Highland Mixed",MENA,
784,"Landslide events","Highland Mixed",MENA,
785,"Crop stress/damage/mortality","Highland Mixed",MENA,
786,"Increase in food imports","Highland Mixed",MENA,"Increased competition from subsidised imports of meat and dairy products for urban consumers continues to impoverish small producers by pushing down prices. The region is not self-sufficient in food production and relies mainly on imports: about 50% of its wheat and barley, 40% of its rice and 70% of its maize"
787,"Increase in migration","Highland Mixed",MENA,"There has been substantial levels of migration to urban and plains areas and even more households are likely to abandon farming and move to areas with better economic opportunities and services."
788,"Lack of willingness to invest in sustainable agricultural practices","Highland Mixed",MENA,"Most of the farmers in the agrisystem are mainly small scale subsistence farmers and they generally lack the willingness to invest in sustainable agricultural practices due to lack of financial capabilities to invest in proper farm inputs and infrastructure."
789,"Loss of income","Highland Mixed",MENA,"Loss of livelihood and income to to extreme events such as floods and droughts impacts on the communities heavily due to damage of infrastrucuture and agricultural produce."
790,"Increase in food imports","Highland Mixed",MENA,"The reliance on food imports is expected to increase by 64% between 2010 and 2030. Such reliance on imports exposes Arab States to supply and price risks."
791,"Increase in food insecurity","Highland Mixed",MENA,
792,"Food health and safety issues","Highland Mixed",MENA,
793,"Increase in poverty","Highland Mixed",MENA,
794,"Dependence on food aid","Highland Mixed",MENA,
795,"Increase in malnutrition/ Reduced calorie intake","Highland Mixed",MENA,
796,"Competition for resources","Highland Mixed",MENA,
797,"Increase in malnutrition","Highland Mixed",MENA,
798,"Increase in food spoilage/wastage","Highland Mixed",MENA,
799,"Increase in post-harvest losses","Highland Mixed",MENA,
800,"Unsustainable natural resource use","Highland Mixed",MENA,"There has been a decline in the quality of the natural resource base due to unsustainalbe practices such as inadequate maintenance of terraces in recent years. To some extent, this neglect of terrace maintenance has been caused by reduced labour availability, as a result of substantial levels of emigration to urban and plains areas"
801,"High poverty levels ","Highland Mixed",MENA,"Currently, farmers in this farming system are amongst the poorest and most marginalised in the region. They are disconnected from resources, markets, extension services and social protection systems, making them even more vulnerable to the impacts of climate change."
802,"Demographic pressure on land","Highland Mixed",MENA,"An additional strain on food and water demand is exerted by a strong population growth (almost 2% per year – about twice the world average), which is expected to double by 2050. In addition to rising population, higher living standards, urbanization and further development in general will all exercise an increasing pressure on the already scarce resources, in turn deeply interwoven with food-security challenges"
803,"Dependent on a single crop type","Highland Mixed",MENA,"Low-yield agriculture in the region is characterized by low diversity such that harvested area is dominated by cereals"
804,"Unsustainable land management practices","Highland Mixed",MENA,"Within the Highland Mixed System, inadequate maintenance of terraces in recent years has led to a decline in the quality of the natural resource base, and to increasing water erosion that has reduced productivity"
805,"Dependence on groundwater","Highland Mixed",MENA,"In the system, the primary source of drinking water is groundwater. Since the impacts of climate change on groundwater resources have remained weakly comprehended, the MENA countries should consider alternative resources to ensure reliable access to drinking water in the future."
806,"Reliance on rainfed agriculture","Highland Mixed",MENA,"Reliance on rainfed agriculture by most farmers in the region exposes them to the harsh climatic hazards experienced in the region such as erratic rainfall which affects the predictability of the planting season."
807,"Poor water use efficiency and management","Highland Mixed",MENA,
808,"Weak land tenure ","Highland Mixed",MENA,"One of the policy challenges in the highland mixed farming system is how to improve labour productivity, given the current land use and land tenure regimes. The current fragmented land use system, where about 50 per cent of the farms in the highland mixed system are smaller than 1.5 ha, is a disincentive for agricultural mechanization and commercial farming. The land tenure policies of the governments, along with weak institutions, are often blamed for poor agricultural performance"
809,"Conflict prone area","Highland Mixed",MENA,"MENA has a high degree of political instability and a low level of economic freedom. In addition, it has suffered from war (invasion or civil violence) for decades. The instabilitiy impacts on the livelihood of the communities."
810,"Weak land tenure and access rights for women","Highland Mixed",MENA,
811,"Low access to markets","Highland Mixed",MENA,"The sustainability of this farming system depends in part on economic profitability that must provide for reinvestment in the maintenance of the ecosystem services and in satisfying the livelihoods of the people. Although small-scale farmers in the highland mixed system are keen to intensify and diversify, they are currently constrained by limited access to input and output markets. The challenging terrain and associated high cost of infrastructure development have been disincentives to develop roads and marketing in the respective countries to allow inputs and agricultural producers to move efficiently and economically"
812,"Low access to credit","Highland Mixed",MENA,"The risk inherent in smallholder farming, bad loans, inefficiencies in the banking sector, and lack of security exclude many farmers from formal credit. Governments tend to see credit policy in terms of capping the interest rate, which benefits farmers who can get credit already but discourages banks from lending to poorer clients."
813,"Barriers to trade","Highland Mixed",MENA,
814,"Unstable commodity prices","Highland Mixed",MENA,
815,"High prevalence of land degradation","Highland Mixed",MENA,"The location of the farming system on undulating and mountainous landscapes (with slopes ranging from 5 to 35 per cent), along with high rainfall intensity and recurrent deforestation, makes it susceptible to erosion. Erosion is the major environmental factor aggravating soil fertility decline, decreasing productivity, reducing soil carbon stock and diminishing environmental services. A quarter of the highlands of Ethiopia are seriously eroded"
816,"Unfavourable soil conditions","Highland Mixed",MENA,"Unfavourable soil conditions is a vulnerability that has been caused by years of soil erosion due to climatic hazards."
817,"Water scarce area","Highland Mixed",MENA,"Countries under the farming system are some of the most water scarce countries in the world and this is further exacerbated by droughts, increasing populations and little water conservation efforts."
818,"Predominantly small-scale subsistence farming","Highland Mixed",MENA,"Nearly 85 percent of agricultural land holdings in the MENA region are farmed by small-scale farmers characterized by small land holdings and limited resources for farm inputs."
819,"Low access to markets","Highland Mixed",MENA,"The system is constrained by limited human and financial capital, and poor market access with at least 7.1 hrs travel to reach the nearest town with 50,000 people"
820,"Low access to agricultural extension services","Highland Mixed",MENA,"Farmers in the farming system are among the various agricultural communities who are  disproportionately impacted by climate change. This is partly due to their direct dependence on natural resources and detachment from the extension services and social protection systems that could enable them to build their capacity and resilience."
821,"Lack of irrigation infrastructure ","Highland Mixed",MENA,"There is some limited irrigation that is used for the cultivation of horticultural and field crops."
822,"High illiteracy rates ","Highland Mixed",MENA,"""Traditional” farmers tend to be among the least educated and oldest segments of the population. MENA governments need to invest in rural education and professional training, both formal and informal, to help them adjust to the managerial and technological complexities of producing for the modern urban market and to help other family members to access better off-farm income, or to be better equipped to migrate to cities. "
823,"Weak land tenure and access rights, particularly for women","Highland Mixed",MENA,
824,"Inadequate agri research and development","Highland Mixed",MENA,
825,"Implement reforestation practices","Highland Mixed",MENA,"There have been several initiatives in regards to reforestation and related activities for instance the AFR100 (the African Forest Landscape Restoration Initiative)."
826,"Invest in road infrastructure","Highland Mixed",MENA,"There is a poor but expanding road network in the farming system. In Ethiopia for instance, the road density grew more than 70 per cent between 1997 and 2009, and the average distance to an all-weather road decreased from 21.4 km to 11.8 km. Nevertheless, the vast majority of the highland communities are yet to be connected."
827,"Invest in water harvesting and storage infrastructure","Highland Mixed",MENA,"Several countries under the agrisystem are imlemeting water harvesting and storage such as Egypt  which is constructing 633 water storage facilities, with a capacity of 266.34 million m3. It explained that 160 dams, 307 artificial lakes, and 39 protection bridges, 93 barriers and artificial canals have been implemented, as well as the repairing and construction of 34 flood waterholes"
828,"Implement efficient water management","Highland Mixed",MENA,"There are various water management strategies that are being implemented for example the Participatory Watershed Management and Poverty Reduction approach in Tunisia."
829,"Diversify livelihoods","Highland Mixed",MENA,"Remittances from off-farm work are a major source of income (about half of males work outside their district), which is supplemented by traditional income sources such as almonds, walnuts, carob pods and aromatic plants."
830,"Adopt drought tolerant varieties","Highland Mixed",MENA,"In both the north and west of the country, most small-scale farmers also keep livestock, mostly sheep. Sheep are the least affected livestock group, and this is especially the case in mixed farming systems such as those in Iran. Maintaining sheep populations and breeding drought and heat tolerate sheep could be an effective livelihood adaptation strategy for these farmers"
831,"Capacity building on sustainable agricultural practices","Highland Mixed",MENA,"Aggressive sustainable land management government programs, including construction of terraces and water harvesting structures, rehabilitation exclosures of degraded landscapes as well as watershed management schemes have been implemented"
832,"Improve networking and knowledge exchange","Highland Mixed",MENA,"Improving agricultural growth and productivity demands the development and promotion of an environment that encourages knowledge to be produced, communicated and applied to a nation’s needs (Joint Science Academies statement 2006). The current weak institutional capacity, sectoral policies and fragmented institutional arrangements need to be amended to facilitate knowledge flow and improve communication"
833,"Establish farmer organisations","Highland Mixed",MENA,"Farmer organizations play a vital role in helping farmers gain access to the resources necessary to increase yields and increase income. This ultimately supports their shift from subsistence farming to farming as a business. An example is  Nuru Ethiopia-supported farmer organizations which are led and owned by the local community members. Local ownership and leadership allow for the important knowledge that farmers gain through their respective farmer organizations to be continuously recycled back into the organization and the local community. This continuous improvement allows farmer organizations to adapt to new challenges. "
834,"Build capacity on advocacy","Highland Mixed",MENA,
835,"Policy reform","Highland Mixed",MENA,"Public policies and programmes have played an extremely important role in shaping market conditions and private sector investment"
836,"Develop policies for building climate change resilience","Highland Mixed",MENA,"A few MENA countries have prepared themselves against natural and man-made disasters. The example countries are Egypt, Algeria, Morocco and Lebanon. These countries have composed specific policies, in addition to setting up intra-governmental risk management units, to decrease their extent of vulnerability. The established units are meant to assess risk by taking advantage from early warning systems, knowledge centers and risk management laboratories "
837,"Invest in agricultural research and development","Highland Mixed",MENA,
838,"Improve access to markets","Highland Mixed",MENA,"Domestic markets in the region are generally tightly integrated into global agricultural markets and this interdependence is certain to continue and expected to deepen for products such as wheat and maize."
839,"Diversify markets","Highland Mixed",MENA,"Specific mountain products and services including mountain tourism, medicinals, highland fruits, flowers, honey and other organic food items are in increasing global demand (ICIMOD 2011). Highland farmers could effectively compete in national and international markets if they are able to exploit their distinct agroecology and traditions by producing superior quality products with certified food origins that meet sanitary requirements and other policies of niche markets."
840,"Support local value chains","Highland Mixed",MENA,"MENA governments have subsidised wheat production for many years using three main policy interventions: guaranteed prices, input subsidies, and import tariffs. The purpose of these policies is to raise the price and lower the costs for domestic production of wheat in order to increase self- sufficiency in wheat production. In Iraq, for example, the Ministry of Trade supports wheat producers through a guaranteed price for no. 1 wheat that exceeds the import price of wheat."
841,"Improve access to credit","Highland Mixed",MENA,
842,"Area of land used","Highland Mixed",MENA,"The highland mixed farming system falls under the Semiarid - subhumid agroecological zone covering an area of 74 million ha."
843,"Farmers engaged in agri system","Highland Mixed",MENA,
844,"Risk to farmers of chronic poverty due to Climate Change ","Highland Mixed",MENA,"Around 43 percent of the MENA region’s population live in rural areas, which in turn are highly affected by the poverty that results from exclusion from the region’s economic growth; 70 percent of the region’s poor currently live in rural areas and are largely dependent on agriculture for their livelihoods. There is a higher prevalence of rural poverty in the highland mixed farming system and household economies. Of these, small-scale farmers with limited access to irrigation sources and net food buyers are amongst the poorest in the region."
845,"Risk to farmers of food insecurity due to Climate Change","Highland Mixed",MENA,"While it is important to understand the impacts of climate change on small-scale farmers to ensure they can transition out of poverty and hunger, there are also broader implications for the food security of those living in the region. With around 40 percent of the region’s overall food supply coming from imports, this region is highly dependent on international markets and is susceptible to the price fluctuations that are likely to arise as agricultural production globally becomes less predictable"
846,"Risk to farmers of loss of livelihoods due to Climate Change ","Highland Mixed",MENA,"Income and employment may be lost as a result of more frequent droughts in rural areas, and to floods and sea surges in urban and coastal areas. Changes in temperature and precipitation patterns may result in damage to strategic economic sectors such as tourism or others with growth potential such as high-value-added agriculture"
847,"Increase in average temperatures","Rainfed Mixed",MENA,"The MENA Region including countries with the rainfed mixed agrisystem, is one of the World’s most exposed regions to negative climate change impacts.  Heat extremes and water shortages are quite prevalent. With 4°C global warming the mean summer temperatures can increase by up to 8°C, water runoff could decrease by 75%, and land aridity could increase in many parts of the region by more than 60%. In particular vulnerable to negative climate change impacts is the rain fed agricultural production and livelihoods of poor farmers."
848,"Increase in drought events","Rainfed Mixed",MENA,"Drought is the most prevalent climate hazard in the agrisystem its impacts on livelihoods are severe and cause the highest human losses. Its effects include decreased water supplies, as well as loss of harvest and livestock. which, in turn, threaten food security and often cause widespread malnutrition."
849,"Increase in tropical cyclones/hurricanes","Rainfed Mixed",MENA,"Heavy flood conditions also often follow tropical cyclones events, which are widespread in the vicinity of the Indian Ocean and Arabian Sea, and can have long-lasting impacts on coastal settlements and natural systems. "
850,"Rising sea levels","Rainfed Mixed",MENA,"Countries in the region within the agrisystem are also particularly vulnerable to sea level rise due to climate change. About seven percent of the total population in MENA countries lives in areas where elevation is less than five metres above sea level and a large share of economic activities especially agriculture and population is concentrated in coastal areas which are exposed to increasing risks of flooding, inundation, land erosion and salinization. The effect of sea level rise could be extremely disruptive for climate-sensitive activities especially agriculture and fishing."
851,"Shorter growing season","Rainfed Mixed",MENA,"The agrisystem is impacted by low rainfal period and higher temperatures which leads to shorter growing periods especially for the wheat value chain commodity."
852,"Increase in extreme heat (no. of hot days)","Rainfed Mixed",MENA,"The most immediate threat posed by climate change to the agrisystem, one that is in the forefront of climate adaptation efforts, is extreme heat. In extreme heat-prone regions such as the rainfed mixed farming system and the coastal communities  excessive temperatures that could push well into the 50-60°C range, coupled with humidity and sea level rise, the cumulative effect can be devastating to infrastructure and human populations. Extreme heat has direct implications for three important aspects of society that are relevant in the context of the farming system: public health, safety, and development."
853,"Decrease in average precipitation","Rainfed Mixed",MENA,"The observational record for most countries in the North Africa and the Middle East where the farming system occurs, indicates an overall reduction in extreme precipitation events since the 1960s, despite a local positive trend over the Atlas mountains since the 1980s."
854,"Increase in extreme rainfall events","Rainfed Mixed",MENA,"Extreme rainfall events recorded in the agrisystem have lead to flooding events which causes destrcution of infrastructure and agricultural produce in the farms."
855,"Increasingly erratic rainfall","Rainfed Mixed",MENA,
856,"Soil erosion","Rainfed Mixed",MENA,"The rainfed farming system agricultural area is impacted by  soil erosion especially during rainstorms and erosion by wind on light, over-cultivated, exposed soils."
857,"Change in production zone suitability","Rainfed Mixed",MENA,"Warmer and drier climate is projected to shift vegetation and agricultural zones northwards, e.g., by 75 km for 2090–2099 relative to 2000–2009 in a 4°C world (Evans, 2009). Ferrise et al. (2013) also projected a shift northward for olive plantations."
858,"Shorter growing seasons","Rainfed Mixed",MENA,"Lower rainfalls and higher temperatures will shorten growing periods for wheat in the farming system region by about two weeks by mid-century (2031-2050). The wheat growing period in Tunisia is expected to be shortened by 10 days for 1.3°C, by 16 days for 2°C, by 20 days for 2.5°C and by 30 days for 4°C warming."
859,"Reduced crop productivity/failure","Rainfed Mixed",MENA,"Most agricultural activities in the MENA region take place in the semi-arid climate zone, either close to the coast or in the highlands. Crop yields are expected to decline by 30 percent with 1.5-2°C warming without considering adaptation."
860,"Reduced livestock productivity","Rainfed Mixed",MENA,"Climate change impacts on livestock production through various pathways, such as, changes in the quantity and quality of available feeds, changes in the length of the grazing season, additional heat stress, reduced drinking water, and changes in livestock diseases and disease vectors. The vulnerability of livestock production systems to droughts was recently demonstrated in north-eastern Syria, where herders lost almost 85 percent of their livestock as a result of the recurring droughts between 2005 and 2010."
861,"Reduced groundwater tables","Rainfed Mixed",MENA,"Ground water is the major source of water in the agrisystem and there is a substaincial reduction in ground water levels due to a combination of precipitation scarcity, high population growth and geographic concentration of the population. This is the most water-stressed area in the world."
862,"Desertification","Rainfed Mixed",MENA,"Climatic variations and human activities are the main driving factors of desertification in areas of the farming system. Deforestation for extensive agricultural activities in the vulnerable ecosystems of arid and semi-arid areas, which are thus strained beyond their capacity, coupled with increase in temperatures and reduced precipitation causes desertification"
863,"Land degradation","Rainfed Mixed",MENA,"Poor farming practices, iland pollution and extreme weather particularly drought leads to land degradation. "
864,"Crop stress/damage/mortality","Rainfed Mixed",MENA,"High temperatures causes heat stress leading to crop damage and failure. "
865,"Water scarcity","Rainfed Mixed",MENA,"Increase in drought events leads to water scarcity. "
866,"Increased flooding","Rainfed Mixed",MENA,
867,"Unpredictable planting period","Rainfed Mixed",MENA,
868,"Damage to infrastructure","Rainfed Mixed",MENA,
869,"Riverine flooding","Rainfed Mixed",MENA,
870,"Reduced water quality","Rainfed Mixed",MENA,
871,"Reduced forage availability","Rainfed Mixed",MENA,
872,"Landslide events","Rainfed Mixed",MENA,
873,"Increase in soil water deficit","Rainfed Mixed",MENA,
874,"Biodiversity loss","Rainfed Mixed",MENA,"Human activities such as competition for resources leads to biodiversity loss."
875,"Increase in migration","Rainfed Mixed",MENA,"As a consequence of worsening extreme heat, drought and aridity conditions under climate change, deteriorating rural livelihoods associated with declining agricultural productivity will continue to contribute to migration flows, often to urban areas as already observed"
876,"Competition for resources","Rainfed Mixed",MENA,"The region could be heavily challenged by both rising food and water demand given its projected increase in population that may double by 2070. As a result, the regions already substantial import dependency could increase and thus its vulnerability to agricultural impacts well beyond its country borders."
877,"Conflict over resources","Rainfed Mixed",MENA,"A severe and sustained pressure on resources could contribute to further social unrest in the already unstable political environment that currently characterizes parts of the region."
878,"Increase in food insecurity","Rainfed Mixed",MENA,"Farmers in the agrisystem have traditionally coped with harsh climatic conditions, and climate change adds to the existing challenges. Most agricultural activities take place in the semiarid climate zones close to the coast or in the highlands, where rainfall and thus water availability are predicted to decline most strongly. Therefore, climate change impacts have important implications for farmers’ livelihoods, national economies, food security and poverty ."
879,"Increase in food imports","Rainfed Mixed",MENA,"The major impact of water scacity prevailing in the areas of the farming system prevents  countries from producing all required food domestically and makes the region dependent on food imports."
880,"Increase in food prices","Rainfed Mixed",MENA,"Increase in food importation due to poor poor productivity leads to increased foor prices. "
881,"Increase in women's workload","Rainfed Mixed",MENA,"The region is facing unequal opportunities for women hence leading to increase in women workload."
882,"Lack of willingness to invest in sustainable agricultural practices","Rainfed Mixed",MENA,
883,"Loss of income","Rainfed Mixed",MENA,
884,"Demographic pressure on land","Rainfed Mixed",MENA,"A principal trend and issue concern the poor access to quality land faced by increasing numbers of small scale farmers."
885,"Unequal opportunities for women ","Rainfed Mixed",MENA,"Women are becoming increasingly marginalised in the production process and their labour is being progressively displaced, as men dominate the mechanisation processes for all the main crops."
886,"High poverty levels ","Rainfed Mixed",MENA,"High poverty levels especially among the rural farmers is high due to the problem of water scarcity that impacts on agriculture which is their main source of livelihood. Poverty also affects the ability of the farmers to cope with climate change."
887,"Poor water use efficiency and management","Rainfed Mixed",MENA,"Despite its extreme water scarcity, countries within the agrisystem and the MENA region consume more water per capita than the global average, with Arab residential water and energy markets among the most heavily subsidized in the world. Reevaluation and redesigning of irrigation, and water-harvesting practices to sustain a healthy agricultural sector must be improved where economically viable. "
888,"Unsustainable natural resource use","Rainfed Mixed",MENA,"The renewable natural resources on which smallholder farmers depend are increasingly being degraded, posing significant risks to natural resources. "
889,"Inconsistencies in policy implementation","Rainfed Mixed",MENA,"There appears to be little commitment by many governments to supporting the sector - particularly the smaller farmers - through regulation of imports and specific support to poor farmers."
890,"Conflict prone area","Rainfed Mixed",MENA,"Social unrest and political instability is a characteristic of many part of the MENA region and this coupled with climate change impacts heavily on agricultural production."
891,"Unstable commodity prices","Rainfed Mixed",MENA,"Water and land constraints in the agrisystem impacts on agricultural productivity forcing countries within the system to rely on imports making them also vulnerable to price shocks on the global markets and harvest failures in other world regions."
892,"Low access to markets","Rainfed Mixed",MENA,"Low access to market is caused by heavy importation of food commodities due to low agricultural productivity. Increasing and diversifying exports of goods and services will allow countries in the agrisystem to accumulate foreign reserves, which allows for importing additional food in times of droughts and other crises."
893,"High prevalence of land degradation","Rainfed Mixed",MENA,"Land degradation is prevalent within the farming system due to increasing demographic pressure coupled with extreme climatic hazards such as droughts and floods that impact on existing natural resources."
894,"Water scarce area","Rainfed Mixed",MENA,"Countries within the farming system are some of the most water stressed countries in the world. High temperatures and low precipitation  is likely to result in further increased pressures on water resources and agriculture."
895,"High levels of deforestation","Rainfed Mixed",MENA,"Mismanagement of natural resources allowing for heavy deforestation rates and forest fires for example in Syria further exacerbates the impacts of climate change and hinders mitigation strategies"
896,"High poverty levels ","Rainfed Mixed",MENA,"The prevalence of poverty is extensive among farmers in the system because of poor infrastructure, the degradation of natural resources, low rainfall and weak market linkages. Poverty also largely results from lack of access to resources, including inequitable sharing of water, food, and energy resources. Land management practices are often inefficient and many policies favor urban populations and the supply of cheap food instead of supporting rural development. Addressing these factors could considerably reduce the risk of climate change contributing to increased poverty."
897,"Reliance on rainfed agriculture","Rainfed Mixed",MENA,"Seventy percent of the region’s agriculture production is on rain-fed land. Taking into account that most of the land area receives less than 300 mm of annual rainfall and that the lower limit for rain-fed agriculture is between 200 and 300 mm annual rainfall, the agrisystem is highly vulnerable to temperature and precipitation changes, with associated consequences for food security and rural livelihoods."
898,"Lack of irrigation infrastructure ","Rainfed Mixed",MENA,"Reevaluation and redesigning of irrigation, and water-harvesting practices to sustain a healthy agricultural sector must be improved where economically viable to get “more crop per drop”. Irrigated crops are less affected by droughts; however, expanding irrigation is possible only to a limited extent, especially in Syria and all other countries in the MENA region, which have severely constrained water resources."
899,"Inadequate agri research and development","Rainfed Mixed",MENA,"Agricultural sector in the region is vulnerable to inadequate agricultural research and development due to poor organisation of resources and lack of entrepreneurship. "
900,"Dependent on a single crop type","Rainfed Mixed",MENA,
901,"Implement reforestation practices","Rainfed Mixed",MENA,"Reforestation projects in the countries within the agrisystem are an inexpensive and effective way of reducing air pollution, lowering temperatures by producing shade, improving health, and even raising property values. The return on investment (ROI) for tree planting is often more financially beneficial than other more costly investments, but ROI projections fluctuate when measuring effects in different areas."
902,"Invest in irrigation infrastructure","Rainfed Mixed",MENA,"The most important change leading to better water management is improving water efficiency in agricultural irrigation. Traditional water management techniques have an important role in many Middle East and North African (MENA) countries under the rainfed mixed farming system. Due to their efficiency, revitalized traditional techniques for irrigation management of scarce water resources have been suggested as a way to at least partially cope with the present water crises"
903,"Invest in water harvesting and storage infrastructure","Rainfed Mixed",MENA,"The region has coped with its water scarcity through a variety of means: abstraction of groundwater, water harvesting and storage, wastewater reuse."
904,"Diversify livelihoods","Rainfed Mixed",MENA,"There are increasing attempts by farmers in the agrisystem to diversify crops in oorder to access a wider market and also involvement of individuals in substantial off-farm income generating activities, mostly from seasonal employment in the city."
905,"Invest in agricultural research and development","Rainfed Mixed",MENA,"Land reform programmes should be continued and with the active participation of small farmer groups, continuing research is needed on systems of land and water management including traditional techniques used in the region. More adaptive, systemic research is required, both agricultural and socio-economic, on crop-livestock integration and risk reduction, and the stability and sustainability of farming systems."
906,"Implement efficient water management","Rainfed Mixed",MENA,"In combination with other important water management actions, there is a need to identify economic incentives for improved water resource management and to develop communally based initiatives for the long-term management of water catchments - including the rehabilitation of terrace systems and the reintroduction of intercropping systems. Water scarcity is being addressed through a variety of means: abstraction of groundwater, water harvesting and storage, wastewater reuse, desalinization plants, and food imports. "
907,"Build women's  capacity ","Rainfed Mixed",MENA,"The success of adaptation measures such as efficient water management and land reforms will depend to a large extent upon strengthening the role of women in active partivipation fro example watershed resource management and restoration."
908,"Adopt post-harvest technologies","Rainfed Mixed",MENA,"Connected with the need to diversify markets and improve livelioods, there is a place for the development of simple processing methods, direct marketing by producers, and storage facilities at strategic points to preserve and improve the quality of produce."
909,"Implement conservation agriculture practices","Rainfed Mixed",MENA,"Adoption of conservation agriculture (CA) in the rainfed farming is an emerging dimension for recycling biomass into soil system and improving SOC stock in the surface layer"
910,"Build women's  capacity ","Rainfed Mixed",MENA,"If rural women taking on new roles (due to migration of men to look for income) do not have the skills to generate productive livelihoods, as a result of discriminatory social norms and limited education opportunities, then they are at risk of falling into poverty. Promoting gender equity, by tackling both discriminatory norms and inequalities in access to resources, is thus a vital component of effective climate-change adaptation strategies"
911,"Adopt drought tolerant varieties","Rainfed Mixed",MENA,"Scientific advancement in breeding more drought-resistant varieties will be crucial in the future of rainfed agriculture in the countries under the farming system. Investing in the development of drought-resistant seeds and encouraging farmers to adopt these seeds may mitigate adverse consequences on rainfed agriculture and safeguard farmers from drought-induced yield losses"
912,"Capacity building on sustainable agricultural practices","Rainfed Mixed",MENA,
913,"Improve networking and knowledge exchange","Rainfed Mixed",MENA,"Networking and knowledge exchange platforms can be enhanced at the community level to bring farmers together through extension services. Multistakeholder platfoms also known as innovation platforms or learning alliancess can be effective in networking and knowledge exchange by bringing together multiple stakeholders in the different sectors involved."
914,"Build capacity on advocacy","Rainfed Mixed",MENA,"capacity building on advocacy is crucial for example  through awareness among citizens on their rights and responsibilities related to water, illegal water connections and tampering with meter readings."
915,"Policy reform","Rainfed Mixed",MENA,"Policies are required to control a range of actions and practices with major negative environmental impacts; these include frequent, deep ploughing, excessive use of pesticides and excessive water extraction for irrigation. Improved natural resource management, enterprise diversification and off-farm income opportunities should also be promoted."
